rating,price,touch,quick_charge,gpu,processor_brand,ram,hd,battery,battery_type,brand,charger,display,height,core,storage,expandable,network
4.2,12999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.3,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.2,14999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,5G
4.3,16999,Yes,yes,yes,Snapdragon,6.0,Yes,5000.0,lithium polymer,poco,True,1,2460.0,Octa,128.0,1000.0,5G
4.2,14999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,5G
4.2,14999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,5G
4.2,15999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,256.0,1000.0,5G
4.3,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.6,79900,Yes,yes,yes,Apple,6.0,Yes,4323.0,other,apple,False,1,2778.0,Hexa,128.0,1000.0,5G
4.2,10999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.2,15999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,256.0,1000.0,5G
4.2,12999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.2,10999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.6,79900,Yes,yes,yes,Apple,6.0,Yes,4323.0,other,apple,False,1,2778.0,Hexa,128.0,1000.0,5G
4.3,11999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,4G
4.4,19999,Yes,yes,no,Snapdragon,8.0,Yes,5000.0,other,oneplus,True,1,2400.0,Octa,128.0,1000.0,5G
4.3,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.2,15999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,256.0,1000.0,5G
4.2,11999,Yes,yes,yes,Mediatek,4.0,Yes,6000.0,other,motorola,True,1,1612.0,Octa,128.0,1000.0,4G
4.2,10999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.2,12999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,5G
4.3,11999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,4G
4.4,19999,Yes,yes,no,Snapdragon,8.0,Yes,5000.0,other,oneplus,True,1,2400.0,Octa,128.0,1000.0,5G
4.3,9999,Yes,yes,yes,Unisoc,4.0,Yes,5000.0,other,motorola,True,1,1612.0,Octa,64.0,1000.0,4G
4.5,18999,Yes,yes,no,Snapdragon,6.0,Yes,6000.0,other,vivo,True,1,2408.0,Octa,128.0,1000.0,5G
4.1,1599,No,no,no,unknown,0.032,No,1000.0,lithium ion,nokia,True,0,160.0,Single,32.0,32.0,2G
4.4,17499,Yes,yes,no,Snapdragon,4.0,Yes,6000.0,other,vivo,True,1,2408.0,Octa,128.0,1000.0,5G
4.2,8999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,64.0,1000.0,4G
4.2,8999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,64.0,1000.0,4G
4.3,29999,Yes,yes,yes,Mediatek,12.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,256.0,1000.0,5G
4.2,13999,Yes,yes,yes,Snapdragon,4.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,5G
4.2,11999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.2,13999,Yes,yes,yes,Snapdragon,4.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,5G
4.3,9999,Yes,yes,yes,Unisoc,4.0,Yes,5000.0,other,motorola,True,1,1612.0,Octa,64.0,1000.0,4G
4.2,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,4G
4.2,2199,No,no,no,unknown,0.004,No,1450.0,lithium polymer,nokia,True,0,320.0,Single,4.0,32.0,2G
4.2,2199,No,no,no,unknown,0.004,No,1450.0,lithium polymer,nokia,True,0,320.0,Single,4.0,32.0,2G
4.2,11999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.1,10999,Yes,yes,yes,Unisoc,8.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,128.0,1000.0,4G
4.2,24499,Yes,yes,yes,Exynos,6.0,Yes,6000.0,lithium ion,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.2,19999,Yes,yes,yes,Mediatek,12.0,Yes,6000.0,other,motorola,True,1,2400.0,Octa,256.0,1000.0,5G
4.3,15999,Yes,yes,yes,Snapdragon,4.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,128.0,1000.0,5G
4.3,13999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,5G
4.3,27999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,128.0,1000.0,5G
4.2,19999,Yes,yes,yes,Mediatek,12.0,Yes,6000.0,other,motorola,True,1,2400.0,Octa,256.0,1000.0,5G
4.2,24499,Yes,yes,yes,Exynos,6.0,Yes,6000.0,lithium ion,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.5,27999,Yes,yes,no,Mediatek,8.0,Yes,4600.0,lithium ion,vivo,True,1,2400.0,Octa,256.0,1000.0,5G
4.0,1399,No,no,no,unknown,0.004,No,1000.0,other,lava,True,0,160.0,Single,4.0,32.0,2G
4.2,13499,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,256.0,1000.0,4G
4.5,26999,Yes,yes,no,Mediatek,8.0,Yes,4600.0,lithium ion,vivo,True,1,2400.0,Octa,128.0,1000.0,5G
4.3,15999,Yes,yes,yes,Snapdragon,4.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,128.0,1000.0,5G
4.4,17499,Yes,yes,no,Snapdragon,4.0,Yes,6000.0,other,vivo,True,1,2408.0,Octa,128.0,1000.0,5G
4.6,79900,Yes,yes,yes,Apple,6.0,Yes,4323.0,other,apple,False,1,2778.0,Hexa,128.0,1000.0,5G
4.5,27999,Yes,yes,no,Mediatek,8.0,Yes,4600.0,lithium ion,vivo,True,1,2400.0,Octa,256.0,1000.0,5G
4.3,11999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,4G
4.4,20999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,other,realme,False,1,2400.0,Octa,128.0,2000.0,5G
4.2,17999,Yes,yes,yes,Snapdragon,6.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,128.0,1000.0,5G
4.3,13999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,5G
4.1,2999,No,no,no,unknown,0.004,No,1020.0,other,nokia,True,0,320.0,Single,4.0,32.0,2G
4.2,9999,Yes,yes,yes,Unisoc,4.0,Yes,5000.0,other,motorola,True,1,1600.0,Octa,64.0,1000.0,4G
4.4,20999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,other,realme,False,1,2400.0,Octa,128.0,2000.0,5G
4.4,22999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,other,realme,False,1,2400.0,Octa,256.0,2000.0,5G
4.2,19999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,256.0,1000.0,5G
4.3,27999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,128.0,1000.0,5G
4.0,1399,No,no,no,unknown,0.004,No,1000.0,other,lava,True,0,160.0,Single,4.0,32.0,2G
4.2,17999,Yes,yes,yes,Snapdragon,6.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,128.0,1000.0,5G
4.5,25999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium ion,realme,True,1,2412.0,Octa,256.0,1000.0,5G
4.5,25999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium ion,realme,True,1,2412.0,Octa,256.0,1000.0,5G
4.2,13499,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,256.0,1000.0,4G
3.8,1549,No,no,no,unknown,0.032,No,800.0,other,micromax,True,0,240.0,Single,32.0,32.0,2G
4.1,21999,Yes,yes,yes,Mediatek,12.0,Yes,5000.0,lithium polymer,poco,True,1,2400.0,Octa,256.0,1000.0,5G
4.1,10999,Yes,yes,no,Unisoc,8.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,256.0,2000.0,4G
4.1,10999,Yes,yes,no,Unisoc,8.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,256.0,2000.0,4G
4.3,7999,Yes,yes,no,Unisoc,3.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,64.0,2000.0,4G
4.3,7999,Yes,yes,no,Unisoc,3.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,64.0,2000.0,4G
4.3,7999,Yes,yes,no,Unisoc,3.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,64.0,2000.0,4G
4.3,7999,Yes,yes,no,Unisoc,3.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,64.0,2000.0,4G
4.1,10999,Yes,yes,no,Unisoc,8.0,Yes,5000.0,lithium ion polymer,infinix,False,1,1612.0,Octa,256.0,2000.0,4G
4.2,19999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium polymer,redmi,True,1,2460.0,Octa,256.0,1000.0,5G
