title,rating,image,price,In The Box,Model Name,Color,SIM Type,Touchscreen,Quick Charging,Display Size,Resolution,GPU,Operating System,Processor Brand,Processor Type,Processor Core,Primary Clock Speed,Internal Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,HD Recording,Video Recording Resolution,Network Type,Battery Capacity,Battery Type,Warranty Summary,JAVA Support
"POCO M6 5G (Galactic Black, 128 GB)  (4 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/h/b/r/-original-imagytcpcnjbduwh.jpeg?q=70&crop=false,"₹12,999","Handset, 10W Charger, USB Type-C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card",M6 5G,Galactic Black,Dual Sim,Yes,Yes,17.12 cm (6.74 inch),1650 x 720 Pixels,Arm Mali-G57 MC2,Android 13,Mediatek,Mediatek Dimensity 6100+,Octa Core,2.2 GHz,128 GB,4 GB,1 TB,50MP Rear Camera,5MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"POCO M6 5G (Galactic Black, 128 GB)  (6 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/h/b/r/-original-imagytcpcnjbduwh.jpeg?q=70&crop=false,"₹13,999","Handset, 10W Charger, USB Type-C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card",M6 5G,Galactic Black,Dual Sim,Yes,Yes,17.12 cm (6.74 inch),1650 x 720 Pixels,Arm Mali-G57 MC2,Android 13,Mediatek,Mediatek Dimensity 6100+,Octa Core,2.2 GHz,128 GB,6 GB,1 TB,50MP Rear Camera,5MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70&crop=false,"₹14,999","Handset, Charger, USB Cable, Sim Tool, Guides",G34 5G,Ocean Green,Dual Sim,Yes,Yes,16.51 cm (6.5 inch),1600 x 720 Pixels,Adreno 619,Android 14,Snapdragon,Snapdragon 695 5G,Octa Core,2.2 GHz,128 GB,8 GB,,50MP + 2MP,16MP Front Camera,Yes,"Rear Camera: Main Camera (FHD (at 30 fps)), Macro Camera (HD (at 30 fps))","5G, 4G, 3G, 2G",5000 mAh,,1 Year on Handset and 6 Months on Accessories,
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70&crop=false,"₹16,999","Handset, 22.5W Charger, USB Type-C Cable, Sim Eject Tool, Protective Case, Quick Start Guide, Warranty Card",M6 Pro 5G,Power Black,Dual Sim,Yes,Yes,17.25 cm (6.79 inch),2460 x 1080 Pixels,Adreno GPU,Android 13,Snapdragon,Snapdragon 4 Gen 2,Octa Core,2.2 GHz,128 GB,6 GB,1 TB,50MP + 2MP,8MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"Motorola G34 5G (Charcoal Black, 128 GB)  (8 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70&crop=false,"₹14,999","Handset, Charger, USB Cable, Sim Tool, Guides",G34 5G,Charcoal Black,Dual Sim,Yes,Yes,16.51 cm (6.5 inch),1600 x 720 Pixels,Adreno 619,Android 14,Snapdragon,Snapdragon 695 5G,Octa Core,2.2 GHz,128 GB,8 GB,,50MP + 2MP,16MP Front Camera,Yes,"Rear Camera: Main Camera (FHD (at 30 fps)), Macro Camera (HD (at 30 fps))","5G, 4G, 3G, 2G",5000 mAh,,1 Year on Handset and 6 Months on Accessories,
"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70&crop=false,"₹14,999","Handset, Charger, USB Cable, Sim Tool, Guides",G34 5G,Ice Blue,Dual Sim,Yes,Yes,16.51 cm (6.5 inch),1600 x 720 Pixels,Adreno 619,Android 14,Snapdragon,Snapdragon 695 5G,Octa Core,2.2 GHz,128 GB,8 GB,,50MP + 2MP,16MP Front Camera,Yes,"Rear Camera: Main Camera (FHD (at 30 fps)), Macro Camera (HD (at 30 fps))","5G, 4G, 3G, 2G",5000 mAh,,1 Year on Handset and 6 Months on Accessories,
"POCO M6 5G (Galactic Black, 256 GB)  (8 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/h/b/r/-original-imagytcpcnjbduwh.jpeg?q=70&crop=false,"₹15,999","Handset, 10W Charger, USB Type-C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card",M6 5G,Galactic Black,Dual Sim,Yes,Yes,17.12 cm (6.74 inch),1650 x 720 Pixels,Arm Mali-G57 MC2,Android 13,Mediatek,Mediatek Dimensity 6100+,Octa Core,2.2 GHz,256 GB,8 GB,1 TB,50MP Rear Camera,5MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"POCO M6 5G (Orion Blue, 128 GB)  (6 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/l/v/b/-original-imagytcpqznwrvse.jpeg?q=70&crop=false,"₹13,999","Handset, 10W Charger, USB Type-C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card",M6 5G,Orion Blue,Dual Sim,Yes,Yes,17.12 cm (6.74 inch),1650 x 720 Pixels,Arm Mali-G57 MC2,Android 13,Mediatek,Mediatek Dimensity 6100+,Octa Core,2.2 GHz,128 GB,6 GB,1 TB,50MP Rear Camera,5MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"Apple iPhone 14 Plus (Starlight, 128 GB)",4.6,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70&crop=false,"₹79,900","Handset, USB-C to Lightning Cable, Documentation",iPhone 14 Plus,Starlight,Dual Sim(Nano + eSIM),Yes,,17.02 cm (6.7 inch),2778 x 1284 Pixels,5 Core,iOS 16,Apple,"A15 Bionic Chip, 6 Core Processor",Hexa Core,,128 GB,,,12MP + 12MP,12MP Front Camera,Yes,"Rear Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps), 720P (at 30 fps) | Front Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps)","5G, 4G VOLTE, 4G, 3G, 2G",4323 mAh,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,
"POCO C65 (Pastel Green, 128 GB)  (4 GB RAM)",4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/g/1/p/-original-imagy2v5kfnq97xn.jpeg?q=70&crop=false,"₹10,999","Handset, 10W Charger, USB Type-C Cable, Sim Eject Tool, Quick Start Guide, Warranty Card",C65,Pastel Green,Dual Sim,Yes,Yes,17.12 cm (6.74 inch),1650 x 720 Pixels,Arm Mali-G52 MC2,Android 13,Mediatek,Helio G85,Octa Core,2 GHz,128 GB,4 GB,1 TB,50MP + AI Lens + 2MP,8MP Front Camera,Yes,"Rear Camera: 1080p (at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 30 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE",5000 mAh,Lithium Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,
